Production Model,Version,Defect Type,Defect Observation Area,QA Worker,Shift Time,Component Category,Fixture ID,Inspection Week,Production Order Priority
Model 595214-125,03,insufficient solder,Unknown,Jerome,Night,Diode,FX-014,2025-W07,Medium
Model 595204-792,05,no property assembled,Production Line 2,Sloane,Afternoon,Capacitor,FX-015,2025-W08,Low
Model 595242-854,02,lifted component,Unknown,Leena,Night,Diode,FX-046,2025-W03,Low
Model 595858-658,03,long terminals,Production Line 3,Davonte,Night,Transistor,FX-031,2025-W13,High
Model 595214-125,05,component height/titled,QA Inspection Station,Zoya,Afternoon,Diode,FX-050,2025-W42,Low
Model 595242-854,05,component broken,QA Inspection Station,Sloane,Morning,Connector,FX-022,2025-W09,Low
Model 595130-195,02,no property assembled,Unknown,Jerome,Night,Resistor,FX-049,2025-W22,Low
Model 595214-125,05,solder bridge,Production Line 3,Alaine,Night,Capacitor,FX-020,2025-W12,Low
Model 595214-125,03,solder bridge,QA Inspection Station,Daysha,Afternoon,Transistor,FX-036,2025-W25,Low
Model 595532-132,05,long terminals,Production Line 2,Tristian,Morning,Capacitor,FX-040,2025-W28,High
Model 595858-658,04,solder void,Production Line 1,Leena,Afternoon,Connector,FX-035,2025-W09,High
Model 595214-125,03,excessive solder,Production Line 1,Davonte,Afternoon,Diode,FX-046,2025-W13,High
Model 595130-195,05,missing component,Final Assembly Line,Tristian,Night,Resistor,FX-035,2025-W49,High
Model 595859-381,05,reversed component,Production Line 2,Davonte,Night,Capacitor,FX-048,2025-W17,Low
Model 595532-132,03,no property assembled,Production Line 3,Leena,Night,Connector,FX-016,2025-W16,Low
Model 595130-195,01,no property assembled,Production Line 2,Darci,Night,Capacitor,FX-049,2025-W19,Low
Model 595214-125,03,insufficient solder,Production Line 3,Alaine,Night,Resistor,FX-017,2025-W17,Medium
Model 595130-195,05,no property assembled,Production Line 3,Davonte,Afternoon,Capacitor,FX-041,2025-W03,Medium
Model 595532-132,02,wrong configuration,Unknown,Sloane,Night,Capacitor,FX-010,2025-W03,High
Model 595130-195,01,missing/unknown,Production Line 1,Daysha,Afternoon,Resistor,FX-007,2025-W47,Medium
Model 595214-125,03,component height/titled,Final Assembly Line,Darci,Night,Diode,FX-037,2025-W01,Medium
Model 595859-381,03,component height/titled,Production Line 2,Leena,Morning,Resistor,FX-011,2025-W16,High
Model 595130-195,05,missing/unknown,Production Line 3,Xiang Liang,Night,Capacitor,FX-008,2025-W35,Medium
Model 595242-854,03,solder bridge,Production Line 3,Jerome,Morning,Capacitor,FX-047,2025-W24,High
Model 595130-195,05,bad modules,Final Assembly Line,Leena,Night,Connector,FX-034,2025-W46,Low
Model 595859-381,02,component height/titled,Final Assembly Line,Alaine,Morning,Resistor,FX-002,2025-W27,Low
Model 595242-854,04,solder bridge,Production Line 3,Alaine,Night,Capacitor,FX-003,2025-W11,Medium
Model 595214-125,02,trace open,Production Line 2,Jerome,Night,Diode,FX-016,2025-W15,Low
Model 595859-381,02,component height/titled,Production Line 1,Tristian,Morning,Resistor,FX-006,2025-W10,High
Model 595130-195,04,no property assembled,Production Line 2,Mel,Afternoon,Diode,FX-005,2025-W01,High
Model 595130-195,02,component misalignment,Production Line 3,Tristian,Afternoon,Capacitor,FX-050,2025-W16,Low
Model 595214-125,03,solder bridge,QA Inspection Station,Jerome,Afternoon,Capacitor,FX-011,2025-W22,Medium
Model 595130-195,03,insufficient solder,Production Line 3,Geofrey,Morning,Connector,FX-007,2025-W41,High
Model 595532-132,01,insufficient solder,QA Inspection Station,Daysha,Afternoon,Resistor,FX-009,2025-W25,High
Model 595214-125,01,component height/titled,QA Inspection Station,Geofrey,Night,Connector,FX-047,2025-W07,High
Model 595130-195,05,component misalignment,QA Inspection Station,Leena,Night,Resistor,FX-002,2025-W11,Low
Model 595130-195,04,component misalignment,Unknown,Mel,Night,Resistor,FX-003,2025-W36,High
Model 595859-381,04,missing/unknown,Production Line 2,Sloane,Morning,Diode,FX-009,2025-W33,Medium
Model 595242-854,03,lifted component,Unknown,Tristian,Night,Capacitor,FX-019,2025-W44,High
Model 595130-195,02,missing component,Final Assembly Line,Zoya,Afternoon,Capacitor,FX-032,2025-W11,Low
Model 595242-854,05,pin hole,Production Line 3,Daysha,Afternoon,Resistor,FX-019,2025-W08,Low
Model 595214-125,03,excessive solder,Production Line 3,Sloane,Morning,Capacitor,FX-049,2025-W40,Low
Model 595214-125,03,damaged/ lifted pad,Production Line 2,Leena,Afternoon,Diode,FX-029,2025-W38,Medium
Model 595858-658,03,long terminals,QA Inspection Station,Xiang Liang,Morning,Capacitor,FX-007,2025-W38,Medium
Model 595532-132,03,damaged/ lifted pad,Production Line 2,Zoya,Night,Capacitor,FX-038,2025-W10,Medium
Model 595242-854,04,solder bridge,Final Assembly Line,Davonte,Morning,Capacitor,FX-049,2025-W22,Medium
Model 595242-854,01,solder bridge,QA Inspection Station,Davonte,Night,Transistor,FX-050,2025-W09,Low
Model 595242-854,05,wrong component,QA Inspection Station,Jerome,Afternoon,Connector,FX-017,2025-W32,Low
Model 595214-125,04,insufficient solder,Unknown,Daysha,Night,Resistor,FX-040,2025-W19,Low
Model 595242-854,03,pin hole,QA Inspection Station,Daysha,Afternoon,Connector,FX-006,2025-W20,High
Model 595130-195,02,bad modules,Unknown,Leena,Afternoon,Transistor,FX-045,2025-W04,Medium
Model 595323-328,04,damaged/ lifted pad,Production Line 2,Zoya,Morning,Diode,FX-028,2025-W38,Low
Model 595130-195,03,long terminals,Production Line 2,Davonte,Night,Transistor,FX-004,2025-W11,High
Model 595130-195,02,pin damaged,Production Line 2,Leena,Night,Capacitor,FX-044,2025-W32,Low
Model 595214-125,05,component height/titled,Production Line 1,Jerome,Morning,Transistor,FX-039,2025-W23,High
Model 595214-125,02,defective component,Production Line 1,Xiang Liang,Morning,Capacitor,FX-015,2025-W09,High
Model 595130-195,04,component misalignment,Production Line 1,Darci,Morning,Diode,FX-007,2025-W04,High
Model 595242-854,01,pin hole,Final Assembly Line,Daysha,Morning,Connector,FX-047,2025-W19,Low
Model 595214-125,05,reversed component,QA Inspection Station,Alaine,Afternoon,Resistor,FX-024,2025-W46,Low
Model 595204-792,01,billboarding,Production Line 3,Darci,Afternoon,Diode,FX-036,2025-W01,Low
Model 595130-195,01,missing component,QA Inspection Station,Sloane,Afternoon,Resistor,FX-026,2025-W31,High
Model 595214-125,02,component height/titled,QA Inspection Station,Geofrey,Night,Capacitor,FX-039,2025-W34,Low
Model 595859-381,01,damaged component,Production Line 3,Zoya,Night,Diode,FX-014,2025-W22,High
Model 595859-381,05,missing/unknown,QA Inspection Station,Darci,Night,Capacitor,FX-031,2025-W10,Low
Model 595130-195,01,no property assembled,Production Line 2,Darci,Morning,Capacitor,FX-028,2025-W20,Medium
Model 595214-125,01,reversed component,Production Line 2,Tristian,Night,Resistor,FX-006,2025-W39,Low
Model 595130-195,01,bad modules,Production Line 1,Leena,Afternoon,Capacitor,FX-019,2025-W51,High
Model 595323-328,03,pin damaged,Final Assembly Line,Darci,Morning,Diode,FX-031,2025-W06,High
Model 595214-125,03,bad modules,Final Assembly Line,Leena,Morning,Resistor,FX-035,2025-W45,High
Model 595130-195,04,no property assembled,Production Line 3,Zoya,Afternoon,Resistor,FX-013,2025-W31,High
Model 595214-125,01,wrong component,Production Line 3,Darci,Afternoon,Resistor,FX-029,2025-W41,Medium
Model 595859-381,05,damaged component,Unknown,Jerome,Afternoon,Diode,FX-031,2025-W22,High
Model 595214-125,04,insufficient solder,Production Line 2,Xiang Liang,Morning,Connector,FX-014,2025-W27,High
Model 595130-195,01,missing component,Production Line 3,Daysha,Night,Connector,FX-031,2025-W13,Medium
Model 595532-132,05,damaged/ lifted pad,Unknown,Sloane,Morning,Capacitor,FX-008,2025-W24,High
Model 595214-125,04,pin hole,Production Line 3,Davonte,Morning,Resistor,FX-015,2025-W06,Low
Model 595242-854,03,pin hole,Production Line 2,Darci,Night,Connector,FX-009,2025-W01,Low
Model 595130-195,05,component misalignment,Unknown,Xiang Liang,Afternoon,Connector,FX-045,2025-W40,Medium
Model 595858-658,03,component misalignment,Production Line 1,Mel,Night,Resistor,FX-008,2025-W44,Low
Model 595323-328,01,missing/unknown,QA Inspection Station,Mel,Night,Transistor,FX-031,2025-W51,High
Model 595214-125,01,solder bridge,Production Line 2,Zoya,Morning,Diode,FX-021,2025-W12,Medium
Model 595214-125,02,reversed component,QA Inspection Station,Mel,Afternoon,Diode,FX-031,2025-W26,Low
Model 595532-132,02,no property assembled,Production Line 1,Alaine,Morning,Transistor,FX-034,2025-W22,Medium
Model 595532-132,05,pin damaged,QA Inspection Station,Xiang Liang,Morning,Connector,FX-004,2025-W20,Low
Model 595214-125,04,damaged/ lifted pad,Production Line 2,Xiang Liang,Night,Resistor,FX-001,2025-W36,Low
Model 595532-132,05,damaged component,Unknown,Jerome,Morning,Connector,FX-043,2025-W24,Low
Model 595532-132,03,no property assembled,Production Line 3,Sloane,Morning,Connector,FX-020,2025-W16,High
Model 595130-195,05,component misalignment,Production Line 2,Alaine,Night,Transistor,FX-050,2025-W46,High
Model 595214-125,05,excessive solder,QA Inspection Station,Xiang Liang,Morning,Resistor,FX-011,2025-W33,High
Model 595214-125,05,reversed component,Production Line 2,Tristian,Morning,Diode,FX-007,2025-W05,High
Model 595130-195,04,missing/unknown,Production Line 2,Geofrey,Afternoon,Connector,FX-030,2025-W50,Low
Model 595323-328,05,damaged/ lifted pad,Production Line 2,Xiang Liang,Afternoon,Resistor,FX-030,2025-W29,High
Model 595214-125,05,reversed component,Production Line 3,Tristian,Afternoon,Diode,FX-014,2025-W08,Low
Model 595214-125,01,solder bridge,Unknown,Xiang Liang,Morning,Resistor,FX-018,2025-W49,Medium
Model 595214-125,05,component misalignment,QA Inspection Station,Sloane,Night,Resistor,FX-036,2025-W22,Medium
Model 595204-792,02,component misalignment,Production Line 3,Xiang Liang,Afternoon,Connector,FX-021,2025-W12,High
Model 595130-195,05,component misalignment,Production Line 2,Sloane,Afternoon,Resistor,FX-038,2025-W25,Low
Model 595323-328,02,pin damaged,Production Line 2,Leena,Night,Connector,FX-016,2025-W47,Medium
Model 595130-195,01,wrong configuration,Unknown,Davonte,Night,Diode,FX-012,2025-W23,High
Model 595532-132,03,no property assembled,Production Line 3,Leena,Morning,Resistor,FX-042,2025-W52,Medium
Model 595189-704,04,wrong configuration,Production Line 2,Jerome,Afternoon,Connector,FX-009,2025-W30,High
Model 595130-195,05,component misalignment,Production Line 3,Zoya,Night,Diode,FX-023,2025-W24,Medium
Model 595532-132,03,damaged/ lifted pad,Production Line 3,Davonte,Night,Connector,FX-048,2025-W18,High
Model 595242-854,05,component broken,Unknown,Alaine,Night,Diode,FX-010,2025-W46,Medium
Model 595204-792,05,component misalignment,Final Assembly Line,Davonte,Morning,Connector,FX-001,2025-W42,High
Model 595242-854,03,pin hole,Final Assembly Line,Sloane,Morning,Transistor,FX-008,2025-W23,Low
Model 595130-195,05,wrong configuration,Final Assembly Line,Sloane,Night,Diode,FX-042,2025-W48,High
Model 595189-704,04,insufficient solder,Unknown,Leena,Morning,Transistor,FX-022,2025-W20,Low
Model 595214-125,05,excessive solder,Final Assembly Line,Xiang Liang,Morning,Diode,FX-030,2025-W39,High
Model 595214-125,02,reversed component,Production Line 2,Geofrey,Afternoon,Transistor,FX-035,2025-W27,High
Model 595214-125,01,excessive solder,Final Assembly Line,Leena,Night,Connector,FX-005,2025-W37,Medium
Model 595532-132,02,insufficient solder,QA Inspection Station,Zoya,Night,Connector,FX-002,2025-W42,High
Model 595242-854,05,component broken,Production Line 1,Leena,Morning,Resistor,FX-016,2025-W33,Low
Model 595130-195,02,missing component,Production Line 1,Sloane,Afternoon,Transistor,FX-029,2025-W02,Low
Model 595130-195,02,no property assembled,Unknown,Daysha,Night,Connector,FX-026,2025-W34,Medium
Model 595242-854,03,pin hole,QA Inspection Station,Jerome,Afternoon,Transistor,FX-029,2025-W14,Low
Model 595130-195,04,pin damaged,Production Line 2,Alaine,Morning,Diode,FX-002,2025-W14,Medium
Model 595130-195,05,insufficient solder,Final Assembly Line,Leena,Night,Resistor,FX-016,2025-W36,Medium
Model 595242-854,04,lifted component,Final Assembly Line,Darci,Night,Transistor,FX-040,2025-W42,High
Model 595532-132,02,solder bridge,Production Line 3,Jerome,Morning,Connector,FX-024,2025-W01,Low
Model 595859-381,04,component height/titled,QA Inspection Station,Davonte,Morning,Connector,FX-002,2025-W27,Low
Model 595532-132,04,insufficient solder,Production Line 3,Tristian,Night,Diode,FX-023,2025-W28,Low
Model 595130-195,04,missing component,QA Inspection Station,Xiang Liang,Afternoon,Diode,FX-011,2025-W38,High
Model 595532-132,03,damaged/ lifted pad,Production Line 2,Alaine,Morning,Connector,FX-005,2025-W33,High
Model 595242-854,01,solder bridge,QA Inspection Station,Mel,Night,Capacitor,FX-004,2025-W22,Medium
Model 595242-854,02,lifted component,QA Inspection Station,Geofrey,Morning,Connector,FX-035,2025-W37,Medium
Model 595130-195,03,missing component,Production Line 2,Xiang Liang,Afternoon,Resistor,FX-029,2025-W27,High
Model 595130-195,02,component misalignment,Production Line 2,Leena,Afternoon,Resistor,FX-046,2025-W01,High
Model 595214-125,04,solder bridge,Unknown,Xiang Liang,Morning,Diode,FX-033,2025-W44,Low
Model 595242-854,05,damaged component,QA Inspection Station,Xiang Liang,Night,Transistor,FX-012,2025-W14,Medium
Model 595130-195,04,missing component,QA Inspection Station,Daysha,Night,Connector,FX-046,2025-W03,Low
Model 595532-132,02,insufficient solder,Final Assembly Line,Tristian,Night,Connector,FX-044,2025-W19,High
Model 595214-125,02,excessive solder,Production Line 2,Zoya,Night,Resistor,FX-045,2025-W17,Medium
Model 595242-854,01,pin hole,QA Inspection Station,Geofrey,Afternoon,Capacitor,FX-049,2025-W37,Medium
Model 595214-125,03,component height/titled,Unknown,Daysha,Morning,Resistor,FX-022,2025-W43,High
Model 595859-381,04,long terminals,Production Line 1,Tristian,Afternoon,Connector,FX-022,2025-W04,Low
Model 595323-328,02,excessive solder,Unknown,Alaine,Morning,Connector,FX-027,2025-W42,Medium
Model 595204-792,02,no property assembled,Production Line 1,Daysha,Night,Resistor,FX-032,2025-W05,High
Model 595130-195,04,bad modules,Production Line 2,Mel,Afternoon,Diode,FX-002,2025-W17,Low
Model 595214-125,01,excessive solder,Production Line 1,Tristian,Morning,Capacitor,FX-046,2025-W48,Low
Model 595323-328,01,pin damaged,Production Line 1,Davonte,Night,Diode,FX-019,2025-W33,High
Model 595130-195,03,component misalignment,QA Inspection Station,Mel,Morning,Connector,FX-049,2025-W09,High
Model 595130-195,01,component broken,Unknown,Zoya,Morning,Transistor,FX-035,2025-W18,High
Model 595214-125,01,excessive solder,Production Line 2,Zoya,Morning,Resistor,FX-026,2025-W43,Medium
Model 595204-792,03,solder void,Production Line 3,Daysha,Afternoon,Capacitor,FX-016,2025-W49,High
Model 595130-195,02,missing component,Final Assembly Line,Mel,Afternoon,Resistor,FX-032,2025-W41,Medium
Model 595532-132,02,lifted component,Production Line 3,Xiang Liang,Afternoon,Capacitor,FX-050,2025-W10,Low
Model 595214-125,03,excessive solder,Production Line 1,Mel,Afternoon,Capacitor,FX-037,2025-W20,Medium
Model 595323-328,05,pin damaged,QA Inspection Station,Xiang Liang,Morning,Transistor,FX-046,2025-W36,Low
Model 595532-132,01,trace open,Final Assembly Line,Daysha,Morning,Diode,FX-014,2025-W45,Low
Model 595130-195,04,missing component,Production Line 1,Tristian,Afternoon,Transistor,FX-014,2025-W44,Low
Model 595532-132,05,trace open,Production Line 3,Zoya,Morning,Transistor,FX-044,2025-W36,Low
Model 595242-854,04,lifted component,Production Line 3,Geofrey,Afternoon,Capacitor,FX-002,2025-W44,High
Model 595130-195,05,no property assembled,Unknown,Leena,Afternoon,Transistor,FX-011,2025-W41,High
Model 595130-195,02,missing component,Production Line 2,Xiang Liang,Morning,Diode,FX-047,2025-W30,High
Model 595242-854,02,lifted component,Production Line 2,Sloane,Afternoon,Diode,FX-037,2025-W34,Medium
Model 595323-328,03,damaged/ lifted pad,Production Line 3,Alaine,Night,Capacitor,FX-037,2025-W34,Medium
Model 595859-381,01,component height/titled,QA Inspection Station,Xiang Liang,Night,Resistor,FX-013,2025-W35,Medium
Model 595859-381,04,missing/unknown,Production Line 1,Darci,Morning,Transistor,FX-006,2025-W03,High
Model 595189-704,02,damaged component,Production Line 1,Zoya,Morning,Connector,FX-028,2025-W46,Medium
Model 595323-328,03,pin damaged,Unknown,Sloane,Morning,Diode,FX-012,2025-W31,Medium
Model 595242-854,02,damaged component,Production Line 1,Zoya,Afternoon,Resistor,FX-009,2025-W24,Medium
Model 595323-328,01,missing component,Final Assembly Line,Alaine,Afternoon,Connector,FX-040,2025-W47,Medium
Model 595242-854,05,solder bridge,Production Line 2,Mel,Afternoon,Capacitor,FX-007,2025-W15,Medium
Model 595859-381,03,reversed component,Final Assembly Line,Darci,Night,Connector,FX-025,2025-W48,Low
Model 595130-195,02,no property assembled,Unknown,Alaine,Morning,Connector,FX-042,2025-W24,Low
Model 595214-125,05,solder bridge,Production Line 3,Darci,Afternoon,Capacitor,FX-042,2025-W37,Low
Model 595214-125,04,solder bridge,Final Assembly Line,Tristian,Afternoon,Transistor,FX-034,2025-W19,High
Model 595130-195,05,damaged/ lifted pad,Production Line 3,Daysha,Night,Transistor,FX-018,2025-W05,Medium
Model 595859-381,02,damaged component,Production Line 1,Darci,Afternoon,Transistor,FX-044,2025-W08,Low
Model 595130-195,04,missing component,Final Assembly Line,Davonte,Afternoon,Capacitor,FX-029,2025-W22,Low
Model 595130-195,05,missing/unknown,Unknown,Sloane,Morning,Connector,FX-048,2025-W28,Medium
Model 595858-658,05,component misalignment,Final Assembly Line,Jerome,Morning,Diode,FX-024,2025-W33,Low
Model 595214-125,01,solder bridge,Production Line 3,Tristian,Morning,Connector,FX-030,2025-W51,High
Model 595130-195,01,component misalignment,Final Assembly Line,Leena,Afternoon,Diode,FX-040,2025-W49,High
Model 595214-125,05,component height/titled,Unknown,Jerome,Morning,Transistor,FX-034,2025-W11,High
Model 595242-854,02,pin damaged,Production Line 1,Tristian,Afternoon,Capacitor,FX-004,2025-W33,Medium
Model 595130-195,04,missing component,Production Line 1,Daysha,Morning,Capacitor,FX-016,2025-W25,Medium
Model 595130-195,01,missing component,Final Assembly Line,Jerome,Morning,Connector,FX-010,2025-W33,Low
Model 595130-195,05,wrong component,QA Inspection Station,Xiang Liang,Night,Diode,FX-012,2025-W04,High
Model 595859-381,05,wrong configuration,Production Line 3,Daysha,Afternoon,Capacitor,FX-043,2025-W31,Medium
Model 595242-854,01,solder bridge,Final Assembly Line,Davonte,Night,Capacitor,FX-048,2025-W29,Low
Model 595214-125,02,solder bridge,QA Inspection Station,Daysha,Afternoon,Capacitor,FX-012,2025-W03,Medium
Model 595323-328,03,damaged/ lifted pad,Production Line 1,Daysha,Night,Transistor,FX-041,2025-W43,Medium
Model 595532-132,04,wrong configuration,Production Line 1,Mel,Afternoon,Connector,FX-035,2025-W10,Low
Model 595242-854,04,long terminals,Unknown,Geofrey,Morning,Diode,FX-017,2025-W36,Medium
Model 595214-125,03,solder bridge,Production Line 3,Geofrey,Night,Capacitor,FX-006,2025-W15,High
Model 595189-704,05,wrong configuration,Production Line 3,Jerome,Night,Resistor,FX-003,2025-W18,High
Model 595130-195,03,missing/unknown,Production Line 2,Tristian,Morning,Diode,FX-002,2025-W05,Medium
Model 595204-792,03,solder void,Production Line 2,Xiang Liang,Morning,Connector,FX-007,2025-W41,High
Model 595242-854,04,solder bridge,Production Line 3,Alaine,Afternoon,Transistor,FX-046,2025-W49,Low
Model 595242-854,03,pin damaged,Production Line 3,Alaine,Morning,Transistor,FX-037,2025-W21,Low
Model 595214-125,03,solder bridge,Final Assembly Line,Alaine,Night,Connector,FX-012,2025-W12,Low
Model 595214-125,05,component height/titled,Production Line 1,Davonte,Morning,Transistor,FX-018,2025-W50,Low
Model 595130-195,05,no property assembled,Final Assembly Line,Darci,Morning,Diode,FX-041,2025-W29,High
Model 595242-854,02,pin hole,Production Line 1,Davonte,Afternoon,Resistor,FX-019,2025-W06,Low
Model 595859-381,05,component height/titled,Production Line 3,Xiang Liang,Morning,Connector,FX-036,2025-W29,Medium
Model 595214-125,05,reversed component,QA Inspection Station,Xiang Liang,Morning,Capacitor,FX-019,2025-W02,High
Model 595130-195,04,missing component,Production Line 2,Daysha,Morning,Diode,FX-043,2025-W07,Medium
Model 595130-195,04,missing component,Unknown,Zoya,Afternoon,Diode,FX-030,2025-W28,High
Model 595532-132,03,lifted component,Production Line 1,Darci,Morning,Resistor,FX-050,2025-W49,High
Model 595242-854,02,lifted component,Production Line 1,Geofrey,Night,Transistor,FX-034,2025-W42,High
Model 595242-854,01,component broken,Production Line 1,Xiang Liang,Morning,Transistor,FX-036,2025-W34,Low
Model 595859-381,01,trace open,QA Inspection Station,Leena,Afternoon,Connector,FX-015,2025-W29,Low
Model 595859-381,02,damaged component,Production Line 2,Xiang Liang,Night,Diode,FX-011,2025-W47,Medium
Model 595323-338,02,reversed component,Production Line 3,Jerome,Morning,Connector,FX-012,2025-W22,High
Model 595242-854,04,lifted component,Production Line 2,Tristian,Night,Connector,FX-048,2025-W10,High
Model 595242-854,04,lifted component,Production Line 2,Geofrey,Night,Connector,FX-039,2025-W14,High
Model 595130-195,05,component broken,Unknown,Leena,Morning,Connector,FX-014,2025-W06,Low
Model 595130-195,02,no property assembled,Production Line 2,Mel,Morning,Resistor,FX-041,2025-W40,High
Model 595214-125,01,pin hole,Production Line 1,Jerome,Afternoon,Connector,FX-034,2025-W19,High
Model 595130-195,04,missing/unknown,Production Line 2,Alaine,Morning,Capacitor,FX-042,2025-W24,High
Model 595858-658,03,lifted component,Production Line 1,Davonte,Afternoon,Capacitor,FX-041,2025-W51,Medium
Model 595204-792,02,solder void,Production Line 1,Darci,Night,Resistor,FX-046,2025-W21,Medium
Model 595532-132,05,wrong routing,Production Line 2,Geofrey,Morning,Diode,FX-024,2025-W38,Low
Model 595130-195,03,missing/unknown,Production Line 3,Darci,Night,Connector,FX-048,2025-W15,Medium
Model 595130-195,04,bad modules,Production Line 1,Jerome,Night,Connector,FX-017,2025-W26,Medium
Model 595532-132,03,component misalignment,QA Inspection Station,Zoya,Morning,Transistor,FX-042,2025-W44,High
Model 595242-854,03,lifted component,Production Line 1,Xiang Liang,Night,Connector,FX-013,2025-W32,High
Model 595242-854,04,component broken,Unknown,Geofrey,Morning,Connector,FX-028,2025-W15,Low
Model 595204-792,04,defective component,Production Line 1,Leena,Night,Diode,FX-019,2025-W26,High
Model 595130-195,01,missing component,Production Line 1,Leena,Night,Connector,FX-050,2025-W43,Low
Model 595242-854,04,solder bridge,Production Line 2,Xiang Liang,Morning,Capacitor,FX-033,2025-W03,Low
Model 595130-195,05,component misalignment,Final Assembly Line,Leena,Afternoon,Diode,FX-036,2025-W40,Low
Model 595214-125,01,reversed component,Unknown,Leena,Afternoon,Resistor,FX-038,2025-W32,Medium
Model 595532-132,03,insufficient solder,QA Inspection Station,Darci,Morning,Transistor,FX-041,2025-W06,High
